output_dir,LR,LR_decay,epochs
"/home/saumand/MGMT-Methylation-Detection/CAIDM/Stacked_ResNet/jmodels/logdirs/exp-00",0.01,0.99,20
"/home/saumand/MGMT-Methylation-Detection/CAIDM/Stacked_ResNet/jmodels/logdirs/exp-01",0.001,0.99,20
