output_dir,LR,LR_decay,epochs
"/home/saumand/MGMT-Methylation-Detection/CAIDM/QuadInput/jmodels/logdirs/exp-00",0.01,0.99,200
"/home/saumand/MGMT-Methylation-Detection/CAIDM/QuadInput/jmodels/logdirs/exp-01",0.001,0.99,200
